Sample	Chr	CopyNumber	SegmentSize	Dist2Centromere	SegVal	LOH	SizeDiploidSeg	ChangepointCN	Dist2NearestCNV	GCcontentSeg
TCGA-02-0001	13	1	38356912	28634178	-1.25	1	0	7	243.0	0.45
TCGA-02-0001	13	1	5566340	66991972	-1.31	1	0	7	882.0	0.47
TCGA-02-0001	13	2	23518738	72562709	0.0	0	23518738	7	4397.0	0.51
TCGA-02-0001	14	3	1547987	0	0.35	0	0	7	236.0	0.42
TCGA-02-0001	14	3	1801323	1548222	0.29	0	0	7	236.0	0.5
TCGA-02-0001	14	4	621597	3351978	0.84	0	0	7	28.0	0.46
TCGA-02-0001	14	3	10534192	3973603	0.3	0	0	7	28.0	0.55
TCGA-02-0001	14	1	665442	14514210	-0.76	1	0	7	325.0	0.41
TCGA-02-0001	14	3	25136	15179977	0.26	0	0	7	325.0	0.5
TCGA-02-0001	14	1	4375268	15205670	-0.72	1	0	7	557.0	0.45
TCGA-02-0001	14	2	68699512	19583800	-0.14	0	68699512	7	2862.0	0.52
TCGA-02-0001	15	1	22451324	0	-0.71	1	0	3	14.0	0.53
TCGA-02-0001	15	2	2544766	22451337	-0.39	0	2544766	3	14.0	0.49
TCGA-02-0001	15	1	269757	24997069	-0.76	1	0	3	966.0	0.48
TCGA-02-0001	15	2	57184750	25267961	-0.15	0	57184750	3	1135.0	0.52
TCGA-02-0001	16	3	35222449	1	0.18	0	0	1	11180556.0	0.59
TCGA-02-0001	16	2	43823753	0	-0.13	0	43823753	1	11180556.0	0.57
TCGA-02-0001	17	2	44230800	0	-0.4	1	44230800	2	2450.0	0.56
TCGA-02-0001	17	2	561414	18963364	0.07	1	561414	2	44.0	0.33
TCGA-02-0001	17	2	36254492	19524822	-0.41	1	36254492	2	44.0	0.57
TCGA-02-0001	18	2	71032505	0	-0.13	0	71032505	3	7398.0	0.47
TCGA-02-0001	18	1	62225	52558682	-1.95	1	0	3	2528.0	0.0
TCGA-02-0001	18	1	36535	52623435	-1.82	1	0	3	1372.0	0.0
TCGA-02-0001	18	2	6824361	52661342	-0.14	0	6824361	3	1372.0	0.55
TCGA-02-0001	19	1	9954215	14551626	-0.64	1	0	2	5059.0	0.62
TCGA-02-0001	19	3	7079028	7467539	0.25	0	0	2	97.0	0.6
TCGA-02-0001	19	2	41968545	0	-0.13	0	41968545	2	97.0	0.58
TCGA-02-0001	20	1	25808982	435293	-0.5	1	0	3	1631.0	0.54
TCGA-02-0001	20	2	5742870	0	-0.21	0	5742870	3	1480.0	0.56
TCGA-02-0001	20	1	21979861	2195915	-0.48	1	0	3	1257.0	0.55
TCGA-02-0001	20	2	9358767	24177033	-0.04	0	9358767	3	1257.0	0.61
TCGA-02-0001	21	3	14422105	0	0.53	0	0	2	3579.0	0.4
TCGA-02-0001	21	3	8372126	10816885	0.37	0	0	2	3172.0	0.49
TCGA-02-0001	21	3	14559104	19192183	0.54	0	0	2	3172.0	0.56
TCGA-02-0001	22	2	18735675	0	-0.12	0	18735675	2	1864.0	0.57
TCGA-02-0001	22	1	13483	18737538	-0.87	1	0	2	660.0	0.0
TCGA-02-0001	22	2	16430245	18751681	-0.14	0	16430245	2	660.0	0.59
TCGA-02-0001	23	1	39063784	20124927	-0.74	1	0	4	687.0	0.49
TCGA-02-0001	23	1	21484	20102756	-1.8	1	0	4	687.0	0.0
TCGA-02-0001	23	1	54345413	0	-0.71	1	0	4	32.0	0.51
TCGA-02-0001	23	0	1438	31873245	0.0	1	0	4	32.0	0.0
TCGA-02-0001	23	1	61630299	31874717	-0.75	1	0	4	34.0	0.52
